Id,Label,Type
661,Sushi Sho,Restaurant
662,À L'aise,Restaurant
663,ÓX,Restaurant
664,Demo,Restaurant
665,Kaskis,Restaurant
666,formel B,Restaurant
667,Olo,Restaurant
668,Alouette,Restaurant
669,Bar Amour,Restaurant
670,Tri,Restaurant
671,Dashi,Restaurant
672,COB,Restaurant
673,Hiša Linhart,Restaurant
674,Dam,Restaurant
675,Gostilna Pri Lojzetu,Restaurant
676,Grič,Restaurant
677,Hiša Denk,Restaurant
678,Pavus,Restaurant
679,NUTA,Restaurant
680,Arco by Paco Pérez,Restaurant
681,hub.praga,Restaurant
682,Muga,Restaurant
683,Rozbrat 20,Restaurant
684,CieL,Restaurant
685,Coco Dining,Restaurant
686,Akuna,Restaurant
687,Long Trieu,Restaurant
688,Gia,Restaurant
689,La Maison 1888,Restaurant
690,Tầm Vị,Restaurant
691,Hibana by Koki,Restaurant
692,Ănăn Saigon,Restaurant
693,Taquería El Califa de León,Restaurant
694,Cocina de Autor Riviera Maya,Restaurant
695,Olivea Farm to Table,Restaurant
696,Pangea,Restaurant
697,Conchas de Piedra,Restaurant
698,Em,Restaurant
699,Los Danzantes Oaxaca,Restaurant
700,Cocina de Autor Los Cabos,Restaurant
701,Masala y Maíz,Restaurant
702,Expendio de Maíz,Restaurant
703,Levadura de Olla Restaurante,Restaurant
704,KOLI Cocina de Origen,Restaurant
705,Sud 777,Restaurant
706,Lunario,Restaurant
707,Damiana,Restaurant
708,Rosetta,Restaurant
709,Esquina Común,Restaurant
710,Animalón,Restaurant
711,HA',Restaurant
712,Máximo,Restaurant
713,Nineteen18,Restaurant
714,Džiaugsmas,Restaurant
715,Demo,Restaurant
716,Al Muntaha,Restaurant
717,La Dame de Pic Dubai,Restaurant
718,Tasca by José Avillez,Restaurant
719,Dinner by Heston Blumenthal,Restaurant
720,Manāo,Restaurant
721,moonrise,Restaurant
722,Hōseki,Restaurant
723,Hakkasan Dubai,Restaurant
724,Orfali Bros,Restaurant
725,Jamavar,Restaurant
726,Ossiano,Restaurant
727,Smoked Room,Restaurant
728,avatāra,Restaurant
729,11 Woodfire,Restaurant
730,Légende,Restaurant
731,Narval,Restaurant
732,Kebec Club Privé,Restaurant
733,Mastard,Restaurant
734,Sabayon,Restaurant
735,Laurie Raphaël,Restaurant
736,ARVI,Restaurant
737,Jérôme Ferrer - Europea,Restaurant
738,à plus,Restaurant
739,Koikiryori Aji Manso,Restaurant
740,LA TRACE,Restaurant
741,Da terra,Restaurant
742,SÉN,Restaurant
743,Oryori Hirooka,Restaurant
744,GOKAN UOGIN,Restaurant
745,Sushi Kawashima,Restaurant
746,VILLA COMMUNICO,Restaurant
747,Matsuki,Restaurant
748,Okada,Restaurant
749,Lega',Restaurant
750,Wa Yamamura,Restaurant
751,Ajinokaze Nishimura,Restaurant
752,Kaiseki Morimoto,Restaurant
753,Ajinotabibito Roman,Restaurant
754,Tangará Jean-Georges,Restaurant
755,Kuro,Restaurant
756,Ryo Gastronomia,Restaurant
757,Kinoshita,Restaurant
758,Oizumi Sushi,Restaurant
759,Casa 201,Restaurant
760,Murakami,Restaurant
761,Mee,Restaurant
762,Maní,Restaurant
763,Huto,Restaurant
764,Oseille,Restaurant
765,Oteque,Restaurant
766,KANOE,Restaurant
767,Kazuo,Restaurant
768,San Omakase,Restaurant
769,Picchi,Restaurant
770,Kan Suke,Restaurant
771,Jun Sakamoto,Restaurant
772,Ristorante Hotel Cipriani,Restaurant
773,Fame Osteria,Restaurant
774,Sense,Restaurant
775,Jie Xiang Lou,Restaurant
776,Song,Restaurant
777,Wild Yeast,Restaurant
778,Hangzhou House,Restaurant
779,L'éclat 19,Restaurant
780,Yu Zhi Lan,Restaurant
781,Ambré Ciel,Restaurant
782,Xin Rong Ji,Restaurant
783,Jin Sha,Restaurant
784,Longjing Manor,Restaurant
785,Guiyu (Xihu),Restaurant
786,Fields by René Mathieu,Restaurant
787,Vicomté,Restaurant
788,Eliane,Restaurant
789,Quai n°4,Restaurant
790,Chai Gourmand,Restaurant
791,Bar Bulot Zedelgem,Restaurant
792,Hoeve De Bies,Restaurant
793,Au Gré du Vent,Restaurant
794,Ryôdô,Restaurant
795,Le Julien,Restaurant
796,Arden,Restaurant
797,Pont-Neuf,Restaurant
798,Hert,Restaurant
